Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
6323 17 AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,44,09/14/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/17/2010 07:00 AM +0000,986581,165642
6324 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,05/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/08/2011 07:00 AM +0000,989687,163277
633 CLASSON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,04/01/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2011 07:00 AM +0000,995727,186608
633 ST ANNS AVENUE,BRONX,01 BRONX,Precinct 40,17,04/26/2011 07:00 AM +0000,Open,Graffiti Reported,,1008653,236696
633 WASHINGTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,07/11/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,994259,186527
634 CLASSON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,03/02/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2011 07:00 AM +0000,995651,186354
634 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,15,04/08/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1020631,247009
634 WEST 147 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7,07/14/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998066,240930
634 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7,02/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/13/2011 07:00 AM +0000,1005928,255638
635 NORTH RAILROAD AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,07/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/18/2011 07:00 AM +0000,957572,153909
635 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,02/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,997285,178263
635 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,997285,178263
635 WEST 174 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/20/2011 07:00 AM +0000,1001119,247353
636 CARLTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,06/08/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/18/2011 07:00 AM +0000,991930,186139
636 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,09/23/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2010 08:00 AM +0000,998662,199476
636 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,997279,178262
637 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,04/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,984025,175872
637 EAST 6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,02/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/28/2011 07:00 AM +0000,989607,203086
637 SUTTER AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,04/01/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2011 07:00 AM +0000,1013276,183158
637 WEST 50 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3,06/21/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,985509,218438
638 EAST 6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,01/04/2011 08:00 AM +0000,Open,Graffiti Reported,,989614,203076
638 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,15,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1020658,247026
638 WALTON AVENUE,BRONX,04 BRONX,Precinct 44,17,01/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1004377,238597
639 WEST 142 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/13/2011 07:00 AM +0000,,
64 BAY 38 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,03/29/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2011 07:00 AM +0000,987264,156861
64 BAY 38 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,06/10/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,987264,156861
64 MACDOUGAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,3,08/16/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,983603,204434
64 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,04/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,996443,151579
64 WEST 192 STREET,BRONX,07 BRONX,Precinct 52,14,05/06/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2011 07:00 AM +0000,1011514,255057
64 WEST KINGSBRIDGE ROAD,BRONX,07 BRONX,Precinct 52,14,01/16/2011 08:00 AM +0000,Open,Unspecified,,1011950,255522
64-01 GRAND AVENUE,QUEENS,05 QUEENS,Precinct 104,30,11/05/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,1011516,202652
64-02 108 STREET,QUEENS,06 QUEENS,Precinct 112,29,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/03/2010 08:00 AM +0000,1025948,206293
64-02 68 AVENUE,QUEENS,05 QUEENS,Precinct 104,30,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2010 08:00 AM +0000,1013556,196426
64-02 ROOSEVELT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,07/22/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1011991,211062
64-10 MAURICE AVENUE,QUEENS,05 QUEENS,Precinct 104,26,11/10/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2011 08:00 AM +0000,1011340,206161
64-14 ROOSEVELT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,07/26/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1012015,211066
64-16 ROOSEVELT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,07/26/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1012020,211066
64-17 CENTRAL AVENUE,QUEENS,05 QUEENS,Precinct 104,30,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/25/2011 08:00 AM +0000,1014186,195066
64-19 ROOSEVELT AVENUE,QUEENS,02 QUEENS,Precinct 108,26,12/07/2010 08:00 AM +0000,Open,Unspecified,,1012023,211073
64-24 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,07/25/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1011699,209275
64-70 MAURICE AVENUE,QUEENS,05 QUEENS,Precinct 104,26,03/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/28/2011 07:00 AM +0000,1011520,206444
640 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,09/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2010 08:00 AM +0000,992027,171066
640 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,17,04/20/2011 07:00 AM +0000,Open,Unspecified,,1004619,238191
640 PARKSIDE AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,03/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,997581,178330
640 PELHAM PARKWAY SOUTH,BRONX,11 BRONX,Precinct 49,13,11/18/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2011 08:00 AM +0000,1020671,251390
640 PELHAM PARKWAY SOUTH,BRONX,11 BRONX,Precinct 49,13,04/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1020671,251390
640 PELHAM PARKWAY SOUTH,BRONX,11 BRONX,Precinct 49,13,07/22/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1020671,251390
640 RHINELANDER AVENUE,BRONX,11 BRONX,Precinct 49,15,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1020536,247853
640 WEST 134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7,11/09/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,995856,238200
640 WEST 134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7,05/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Cannot locate property.,07/01/2011 07:00 AM +0000,995856,238200
640 WEST 134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7,07/14/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,995856,238200
640 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7,04/08/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2011 07:00 AM +0000,1005869,255759
640 WEST 26 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/23/2010 07:00 AM +0000,982423,212953
6401 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,07/01/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,987123,165029
6402 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,08/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,989548,163102
641 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9,11/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,1001526,237527
641 LYDIG AVENUE,BRONX,11 BRONX,Precinct 49,13,07/18/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1020754,250610
641 NORTH RAILROAD AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,07/08/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,957522,153864
641 WEST 50 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3,09/29/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,985493,218447
642 48 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,08/05/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,982594,174010
642 EAST 11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,990235,204146
642 EAST 11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990235,204146
642 EAST 8 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,09/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,992592,170453
642 WEST 138 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7,10/15/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/24/2010 08:00 AM +0000,996803,238910
6423 11 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,04/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2011 07:00 AM +0000,982728,168459
6423 FT HAMILTON PARKWAY,BROOKLYN,10 BROOKLYN,Precinct 68,38,08/16/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,981840,169162
643 CLASSON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,02/02/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2011 07:00 AM +0000,995693,186485
644 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,15,07/20/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1020699,247052
644 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,08/15/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1011704,235514
644 WEST 173 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/10/2011 07:00 AM +0000,,
645 VAN NEST AVENUE,BRONX,11 BRONX,Precinct 49,15,07/26/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1021086,246505
645 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7,12/08/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,1005849,255813
646 PARK PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,996398,184859
646 PARKSIDE AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,03/24/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,997620,178333
646 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,04/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/31/2011 07:00 AM +0000,998923,243765
647 ACADEMY STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,01/10/2011 08:00 AM +0000,Open,Unspecified,,1005073,254759
647 EAST 180 STREET,BRONX,06 BRONX,Precinct 48,15,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/03/2011 08:00 AM +0000,1014628,248542
647 WEST 130 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,7,02/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/27/2011 07:00 AM +0000,995677,237117
647 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7,11/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/17/2011 07:00 AM +0000,1005838,255836
648 NOSTRAND AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,998145,185679
648 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,04/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/07/2011 07:00 AM +0000,998903,243777
649 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,04/30/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,998881,199509
649 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,06/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2011 07:00 AM +0000,998881,199509
649 VAN SINDEREN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1012112,179928
649 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7,03/02/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/17/2011 07:00 AM +0000,998940,243763
65 BOND STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,12/15/2010 08:00 AM +0000,Open,Site downloaded for cleaning,,988621,189853
65 EAST 4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,01/31/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2011 07:00 AM +0000,986859,204030
65 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2010 08:00 AM +0000,1010214,250196
65 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,06/14/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1000500,186128
65 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9,01/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/11/2011 07:00 AM +0000,997833,230859
65 LOTT AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42,06/20/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/08/2011 07:00 AM +0000,1008843,178802
65 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,09/23/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/28/2010 07:00 AM +0000,987074,200593
65 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,11/05/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2010 08:00 AM +0000,987074,200593
65 READE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1,09/15/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2010 07:00 AM +0000,982415,199771
65 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,11/15/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2010 08:00 AM +0000,986980,201813
65 ROEBLING STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,10/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2010 08:00 AM +0000,996816,200399
65 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9,01/18/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2011 07:00 AM +0000,997390,231119
