Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
1 ALLEN STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/03/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,,
1 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/28/2011 07:00 AM +0000,1000966,244894
1 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,05/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/16/2011 07:00 AM +0000,1000966,244894
1 AVENUE F,BROOKLYN,12 BROOKLYN,Precinct 66,39,11/24/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/03/2010 08:00 AM +0000,990219,169921
1 CARLTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,02/21/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,991537,193469
1 CONVENT AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,7,02/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/02/2011 07:00 AM +0000,997229,235410
1 DAVIS AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/19/2010 08:00 AM +0000,953507,174111
1 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,02/14/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2011 07:00 AM +0000,984925,199416
1 EAST 118 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,9,05/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2011 07:00 AM +0000,999405,231427
1 EAST 198 STREET,BRONX,07 BRONX,Precinct 52,15,06/09/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2011 07:00 AM +0000,1013874,256734
1 EAST 3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2011 07:00 AM +0000,986606,203879
1 EAST END AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,11/22/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2011 07:00 AM +0000,998656,219993
1 EAST THIRD STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,01/23/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,986606,203879
1 EAST TREMONT AVENUE,BRONX,05 BRONX,Precinct 46,16,07/18/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1009400,249601
1 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,04/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2011 07:00 AM +0000,986982,199698
1 HARRISON PLACE,BROOKLYN,01 BROOKLYN,Precinct 90,34,07/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/18/2011 07:00 AM +0000,1002751,196550
1 MONTGOMERY PLACE,BROOKLYN,06 BROOKLYN,Precinct 78,33,05/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2011 07:00 AM +0000,991510,183965
1 PORTAL STREET,BROOKLYN,08 BROOKLYN,Precinct 77,41,04/07/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1005003,182717
1 POWERS STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,11/02/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/19/2010 08:00 AM +0000,997861,198584
1 PROSPECT PARK WEST,BROOKLYN,06 BROOKLYN,Precinct 78,33,06/09/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,992436,184283
1 PUTNAM AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,09/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/27/2010 07:00 AM +0000,994659,187973
1 SOUTH ELLIOTT PLACE,BROOKLYN,02 BROOKLYN,Precinct 88,35,09/15/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2010 08:00 AM +0000,990901,190423
1 SYLVAN TERRACE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,01/31/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2011 07:00 AM +0000,,
1 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3,06/24/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,987712,210620
10 5 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 6,3,08/16/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985291,206116
10 ALLEN STREET,MANHATTAN,03 MANHATTAN,Unspecified,1,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2011 07:00 AM +0000,986312,199739
10 BENNETT AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,7,01/06/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2011 07:00 AM +0000,1001833,249292
10 CARMEL AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,50,04/02/2011 07:00 AM +0000,Open,Unspecified,,946304,162225
10 COVERT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,06/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1008266,188919
10 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,02/20/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2011 07:00 AM +0000,984774,199569
10 EAST 198 STREET,BRONX,07 BRONX,Precinct 52,15,03/25/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2011 07:00 AM +0000,1013889,256715
10 EAST 64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4,04/15/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,992512,218771
10 FT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/09/2011 08:00 AM +0000,999595,243740
10 GRATTAN STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,05/23/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1002880,196305
10 HOLLAND AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,12/15/2010 08:00 AM +0000,Open,Unspecified,,936713,172453
10 JAVA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,10/12/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2010 07:00 AM +0000,995087,205604
10 JERSEY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,07/29/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985437,203155
10 LINCOLN CENTER PLAZA,MANHATTAN,07 MANHATTAN,Precinct 20,6,08/12/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989164,220826
10 MANHATTAN AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8,11/24/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/08/2011 08:00 AM +0000,994205,228963
10 MAPLE STREET,BROOKLYN,09 BROOKLYN,Precinct 71,40,06/27/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/05/2011 07:00 AM +0000,995379,179823
10 MCGUINNESS BOULEVARD,BROOKLYN,01 BROOKLYN,Precinct 94,33,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Owner refused.,10/14/2010 07:00 AM +0000,998859,202737
10 MURRAY STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1,06/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,982095,199150
10 SCHOOL STREET,STATEN ISLAND,03 STATEN ISLAND,Precinct 122,51,07/23/2011 07:00 AM +0000,Open,Unspecified,,941899,139019
10 SEELEY LANE,STATEN ISLAND,03 STATEN ISLAND,Precinct 122,51,02/18/2011 08:00 AM +0000,Open,Site downloaded for cleaning,,941753,138697
10 ST NICHOLAS PLACE,MANHATTAN,09 MANHATTAN,Precinct 30,7,04/12/2011 07:00 AM +0000,Open,Unspecified,,1000197,240688
10 ST NICHOLAS TERRACE,MANHATTAN,09 MANHATTAN,Precinct 26,7,02/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2011 07:00 AM +0000,997572,235398
10 VAN CORTLANDT AVENUE EAST,BRONX,07 BRONX,Precinct 52,11,05/07/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1015364,258838
10 WEST 65 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6,02/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2011 07:00 AM +0000,989845,220547
10-15 46 ROAD,QUEENS,02 QUEENS,Precinct 108,26,12/01/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2010 08:00 AM +0000,997453,211097
10-21 CLINTONVILLE STREET,QUEENS,07 QUEENS,Precinct 109,19,09/23/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/08/2010 07:00 AM +0000,1036074,228129
10-25 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,34,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/25/2011 08:00 AM +0000,1010905,192679
10-51 GRANGER ST,QUEENS,Unspecified QUEENS,Unspecified,,06/17/2011 07:00 AM +0000,Open,Unspecified,,,
10-51 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,34,06/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2011 07:00 AM +0000,1011109,192528
10-51 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,34,07/26/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1011109,192528
10-69 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,34,10/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2010 07:00 AM +0000,1011276,192398
100 ALCOTT PLACE,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,1031164,256967
100 ALDRICH STREET,BRONX,10 BRONX,Precinct 45,12,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,1030672,256311
100 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/24/2011 07:00 AM +0000,1001571,245982
100 BAYARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,12/13/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,998649,201307
100 BAYARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,08/16/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,998649,201307
100 BELLAMY LOOP,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1032692,257143
100 COOP CITY BOULEVARD,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1032483,256521
100 DARROW PLACE,BRONX,10 BRONX,Precinct 45,12,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1030780,259173
100 DEKALB AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,02/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2011 07:00 AM +0000,990106,190601
100 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/24/2010 07:00 AM +0000,987331,201143
100 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2010 08:00 AM +0000,987331,201143
100 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,01/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2011 07:00 AM +0000,987331,201143
100 DONIZETTI PLACE,BRONX,10 BRONX,Precinct 45,12,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1030580,258377
100 DOWNING STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,04/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,995124,188161
100 EAST 122 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2010 08:00 AM +0000,1000834,231826
100 EAST 30 STREET,MANHATTAN,05 MANHATTAN,Unspecified,2,11/09/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,988992,210493
100 EAST 31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,2,06/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2011 07:00 AM +0000,989119,210718
100 EAST 96 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4,11/23/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2011 08:00 AM +0000,997481,225788
100 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,14,10/02/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,1012109,253393
100 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,14,04/21/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1012109,253393
100 EINSTEIN LOOP,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1033522,254480
100 ELGAR PLACE,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1033550,253982
100 ERDMAN PLACE,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1033297,254111
100 ERSKINE PLACE,BRONX,10 BRONX,Precinct 45,12,04/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1033595,253109
100 FREEMAN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,06/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/21/2011 07:00 AM +0000,996033,206770
100 GRAND STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,12/07/2010 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,03/18/2011 07:00 AM +0000,983776,202098
100 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,06/14/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1000458,185642
100 LEXINGTON AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,2,06/27/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2011 07:00 AM +0000,988923,209655
100 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,06/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,999584,196440
100 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,03/29/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2011 07:00 AM +0000,994458,200368
100 MOSCO STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,07/26/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,984396,199576
100 NORFOLK STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,07/12/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2011 07:00 AM +0000,987813,201146
100 NORTH 1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,03/29/2011 07:00 AM +0000,Closed,Graffiti is intentional.,04/12/2011 07:00 AM +0000,994494,200114
100 NORTH 4 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,05/17/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2011 07:00 AM +0000,994947,200629
100 PIAVE AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,05/08/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2011 07:00 AM +0000,964860,155625
100 POST AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,02/08/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2011 07:00 AM +0000,1006146,254166
100 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9,03/11/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/29/2011 07:00 AM +0000,997374,231657
100 SULLIVAN STREET,MANHATTAN,02 MANHATTAN,Precinct 1,3,03/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2011 07:00 AM +0000,983401,203649
100 UNIVERSITY PLACE,MANHATTAN,02 MANHATTAN,Precinct 6,2,12/28/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2011 07:00 AM +0000,986266,206699
100 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8,10/10/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/22/2010 08:00 AM +0000,994410,230527
100 WEST 106 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2011 07:00 AM +0000,,
100 WEST 114 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,04/18/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,997820,231055
100 WEST 134 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,02/16/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/02/2011 07:00 AM +0000,1000354,235709
100 WEST 139 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2010 08:00 AM +0000,1001004,236884
100 WEST 141 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,09/29/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2010 07:00 AM +0000,1001252,237337
100 WEST 168 STREET,BRONX,04 BRONX,Precinct 44,16,04/26/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/03/2011 07:00 AM +0000,1005193,244692
100 WEST 168 STREET,BRONX,04 BRONX,Precinct 44,16,07/19/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1005193,244692
100 WEST 33 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3,03/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/17/2011 07:00 AM +0000,987381,212273
100 WEST 83 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6,11/24/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2010 08:00 AM +0000,991442,225169
100-01 BELLAIRE PLACE,QUEENS,13 QUEENS,Precinct 105,27,12/19/2010 08:00 AM +0000,Open,Unspecified,,1053559,199026
100-05 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/25/2011 07:00 AM +0000,1027229,191226
100-05 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,05/21/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1027517,190534
100-09 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,05/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2011 07:00 AM +0000,1027518,190534
100-10 133 AVENUE,QUEENS,10 QUEENS,Precinct 106,32,04/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1029310,185924
100-11 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/25/2011 07:00 AM +0000,1027231,191227
100-11 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,07/28/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1020513,216906
100-13 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,07/29/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1021544,212404
100-16 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,05/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2011 07:00 AM +0000,1027522,190530
100-16 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,05/24/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2011 07:00 AM +0000,1020761,215229
100-17 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,30,03/13/2011 08:00 AM +0000,Open,Unspecified,,1027232,191228
100-20 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,05/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2011 07:00 AM +0000,1027523,190530
100-25 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,30,01/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/17/2011 07:00 AM +0000,1027234,191228
100-25 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,04/12/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2011 07:00 AM +0000,1024887,204121
100-26 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,30,01/19/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2011 07:00 AM +0000,1027237,191223
100-55 223 STREET,QUEENS,13 QUEENS,Precinct 105,27,12/29/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2011 08:00 AM +0000,1059012,199538
100-59 223 STREET,QUEENS,13 QUEENS,Precinct 105,27,12/29/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2011 08:00 AM +0000,1059008,199524
100-61 223 STREET,QUEENS,13 QUEENS,Precinct 105,27,11/18/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2011 08:00 AM +0000,1059006,199517
1000 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,10/20/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,1021178,180830
1000 CYPRESS AVENUE,QUEENS,05 QUEENS,Precinct 104,34,11/17/2010 08:00 AM +0000,Open,Unspecified,,1011258,193584
1000 EAST GUN HILL ROAD,BRONX,12 BRONX,Precinct 47,12,05/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2011 07:00 AM +0000,1023536,257975
1000 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,13,01/26/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2011 07:00 AM +0000,1024047,248310
1000 PELHAM PARKWAY,BRONX,11 BRONX,Precinct 49,13,06/22/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2011 07:00 AM +0000,1022984,251468
1000 RICHMOND TERRACE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,04/25/2011 07:00 AM +0000,Open,Unspecified,,955197,174357
1000 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2011 07:00 AM +0000,1013345,239016
10009 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,42,04/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Cannot locate property.,05/25/2011 07:00 AM +0000,1012049,174926
1001 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,06/24/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1025744,240868
1001 EAST 163 STREET,BRONX,02 BRONX,Precinct 41,17,12/17/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/08/2011 08:00 AM +0000,1013800,238402
1001 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,18,11/29/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2010 08:00 AM +0000,1017973,239565
1001 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,18,02/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,1017973,239565
1001 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,06/10/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1010271,192261
1001 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2011 07:00 AM +0000,996783,206431
1001 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,13,07/27/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1024044,248316
1001 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7,09/24/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,09/27/2010 07:00 AM +0000,1000876,243429
1001 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7,12/02/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2010 08:00 AM +0000,1000876,243429
1001 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7,05/02/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/30/2011 07:00 AM +0000,1000876,243429
1001 WARD AVENUE,BRONX,09 BRONX,Precinct 43,18,05/17/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/12/2011 07:00 AM +0000,1018486,239657
1002 BUSHWICK AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,02/24/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/22/2011 07:00 AM +0000,1005862,191299
