OBJECTID,Shape,NAME,URL,LINE
660,"(40.70351533300004, -73.94654699799992)",Lorimer St & Broadway At Nw Corner,http://www.mta.info/nyct/service/,J-M
661,"(40.70084433200009, -73.94168099899991)",Flushing Ave & Broadway At Nw Corner,http://www.mta.info/nyct/service/,J-M
662,"(40.73007833300005, -73.95438499999995)",Manhattan Ave & Greenpoint Ave At Sw Corner,http://www.mta.info/nyct/service/,G
663,"(40.72555633300004, -73.9516480019999)",Manhattan Ave & Norman Ave At Ne Corner,http://www.mta.info/nyct/service/,G
664,"(40.714425334000055, -73.94449799799992)",Graham Ave & Metropolitan Ave At Nw Corner (To Canarsie Only),http://www.mta.info/nyct/service/,L
665,"(40.714616334000084, -73.94456099899992)",Graham Ave & Metropolitan Ave At Sw Corner (To Manhattan Only),http://www.mta.info/nyct/service/,L
666,"(40.70774033300006, -73.94005000099992)",Montrose Ave & Bushwick Ave At Sw Corner,http://www.mta.info/nyct/service/,L
667,"(40.71182633300003, -73.94075899699993)",Grand St & Bushwick Ave At Nw Corner (To Canarsie Only),http://www.mta.info/nyct/service/,L
668,"(40.71190433400005, -73.94042999999994)",Grand St & Bushwick Ave At Sw Corner (To Manhattan Only),http://www.mta.info/nyct/service/,L
669,"(40.69806333300005, -73.92636399899993)",Myrtle Ave & Cedar St At Nw Corner,http://www.mta.info/nyct/service/,M
670,"(40.70630633300004, -73.93167599999992)",Morgan Ave & Harrison Pl At Se Corner,http://www.mta.info/nyct/service/,L
671,"(40.70646033400004, -73.9317389979999)",Morgan Ave & Harrison Pl At Ne Corner,http://www.mta.info/nyct/service/,L
672,"(40.66491533300007, -73.92309299699991)",Rutland Rd & E. 98th St At Sw Corner,http://www.mta.info/nyct/service/,3-4
673,"(40.66140733200007, -73.91554899999994)",Saratoga Ave & Livonia Ave At Sw Corner,http://www.mta.info/nyct/service/,3-4
674,"(40.66152633200005, -73.91531399899992)",Saratoga Ave & Livonia Ave At Se Corner,http://www.mta.info/nyct/service/,3-4
