time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-21T02:26:54.370Z,-20.5967,-178.3389,550.37,4.8,mb,,111,4.435,0.88,us,us20008l1d,2017-02-21T02:40:25.040Z,"38km E of Ndoi Island, Fiji",earthquake,5.5,11.7,0.16,12,reviewed,us,us
2017-02-20T23:55:48.600Z,-14.8978,-176.4089,10,5.4,mb,,118,4.594,0.7,us,us20008l0q,2017-02-21T00:14:45.040Z,"180km S of Mata-Utu, Wallis and Futuna",earthquake,6.7,1.9,0.054,119,reviewed,us,us
2017-02-20T19:35:48.230Z,8.292,-79.2535,15.87,4.7,mb,,85,1.043,0.91,us,us20008ky6,2017-02-21T05:56:57.244Z,"73km ESE of Nueva Gorgona, Panama",earthquake,6.9,4.9,0.034,266,reviewed,us,us
2017-02-20T19:25:18.800Z,55.4635,163.5957,10,4.9,mb,,87,3.794,0.92,us,us20008ky4,2017-02-20T20:46:14.040Z,"110km SE of Ust'-Kamchatsk Staryy, Russia",earthquake,8.9,1.8,0.035,251,reviewed,us,us
2017-02-20T14:59:06.810Z,-5.0203,153.5874,57.29,5,mb,,99,1.64,0.52,us,us20008kwg,2017-02-20T16:00:24.040Z,"86km SE of Taron, Papua New Guinea",earthquake,8.9,7.1,0.059,92,reviewed,us,us
2017-02-20T07:53:06.260Z,-37.595,178.8068,32.16,4.9,mb,,255,0.398,0.91,us,us20008kvk,2017-02-20T15:55:44.948Z,"136km NNE of Gisborne, New Zealand",earthquake,11.3,8.9,0.11,26,reviewed,us,us
2017-02-20T07:45:10.150Z,-5.2197,-74.9708,10,5.4,mb,,84,3.359,1.3,us,us20008kvi,2017-02-20T08:04:42.318Z,"78km E of Lagunas, Peru",earthquake,6.1,1.7,0.023,638,reviewed,us,us
