time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-14T20:31:27.290Z,-24.4112,-175.4864,10.0,5.1,mb,,91.0,5.285,1.39,us,us20008s6f,2017-03-15T17:06:12.040Z,South of Tonga,earthquake,8.9,1.8,0.063,82.0,reviewed,us,us
2017-03-14T20:03:49.110Z,-24.0054,-67.0795,201.83,4.5,mb,,35.0,2.181,1.26,us,us20008s69,2017-03-15T16:46:25.040Z,"80km WNW of San Antonio de los Cobres, Argentina",earthquake,7.3,7.8,0.136,19.0,reviewed,us,us
2017-03-14T18:16:51.960Z,-30.3057,-177.4697,31.48,5.3,mb,,55.0,1.13,0.9,us,us100088xz,2017-03-15T15:56:11.040Z,"122km SSE of Raoul Island, New Zealand",earthquake,9.0,3.8,0.048,146.0,reviewed,us,us
2017-03-14T15:03:39.950Z,-15.6669,-177.1231,10.0,5.2,mb,,74.0,5.063,0.49,us,us100088wf,2017-03-14T16:16:48.153Z,"188km SE of Sigave, Wallis and Futuna",earthquake,10.6,1.8,0.049,138.0,reviewed,us,us
2017-03-14T13:13:38.120Z,3.6430000000000002,95.8566,41.23,5.5,mb,,48.0,1.9140000000000001,1.28,us,us100088vy,2017-03-14T17:32:56.040Z,"62km SSW of Meulaboh, Indonesia",earthquake,7.0,3.8,0.039,228.0,reviewed,us,us
2017-03-14T12:36:43.950Z,-20.9839,169.9928,129.73,5.6,mww,,49.0,2.582,1.02,us,us100088vp,2017-03-14T15:20:21.040Z,"175km SSE of Isangel, Vanuatu",earthquake,8.6,6.2,,,reviewed,us,us
2017-03-14T11:52:18.870Z,-17.8444,-172.2689,10.0,4.6,mb,,135.0,2.5380000000000003,1.31,us,us100088vg,2017-03-14T16:21:29.899Z,"202km ENE of Neiafu, Tonga",earthquake,12.2,1.9,0.094,34.0,reviewed,us,us
2017-03-14T11:47:58.950Z,9.7662,125.3667,58.52,4.6,mb,,109.0,2.687,0.87,us,us100088vj,2017-03-15T10:47:10.179Z,"6km W of San Francisco, Philippines",earthquake,10.4,7.9,0.067,66.0,reviewed,us,us
2017-03-14T11:07:11.400Z,39.2694,73.4711,10.0,5.1,mb,,81.0,2.245,0.89,us,us100088v9,2017-03-14T11:26:21.040Z,"30km NNW of Karakul, Tajikistan",earthquake,5.9,1.8,0.048,141.0,reviewed,us,us
2017-03-14T09:13:27.980Z,-3.3369999999999997,137.5581,68.52,4.9,mb,,97.0,5.317,1.12,us,us100088uy,2017-03-14T09:31:48.040Z,"148km ENE of Enarotali, Indonesia",earthquake,9.1,4.5,0.084,44.0,reviewed,us,us
2017-03-14T06:56:38.880Z,31.6366,141.7827,10.0,4.7,mb,,117.0,2.224,1.13,us,us100088uh,2017-03-14T07:20:23.040Z,"246km SE of Hachijo-jima, Japan",earthquake,9.6,1.9,0.057,92.0,reviewed,us,us
2017-03-14T05:55:21.830Z,0.6764,121.1553,79.23,5.6,mb,,36.0,0.5710000000000001,0.96,us,us100088tq,2017-03-14T16:19:17.040Z,"48km WNW of Lemito, Indonesia",earthquake,6.7,1.9,0.079,72.0,reviewed,us,us
2017-03-14T04:36:30.320Z,-5.6735,110.1787,541.23,5.2,mb,,72.0,1.391,0.82,us,us100088t6,2017-03-14T16:44:34.685Z,"107km NNW of Batang, Indonesia",earthquake,10.1,9.9,0.217,7.0,reviewed,us,us
2017-03-14T03:56:48.920Z,42.7059,142.701,92.35,4.7,mwr,,96.0,0.768,0.74,us,us100088sq,2017-03-14T12:46:31.163Z,"47km WSW of Obihiro, Japan",earthquake,5.5,5.8,0.08,15.0,reviewed,us,us
2017-03-14T02:51:16.850Z,6.1292,92.3167,10.0,6.0,mww,,34.0,4.694,1.25,us,us100088sf,2017-03-15T15:10:42.332Z,"231km SSW of Mohean, India",earthquake,8.2,1.8,,,reviewed,us,us
2017-03-13T21:04:05.710Z,13.8276,-92.2693,37.51,4.7,mb,,183.0,0.889,0.91,us,us100088rh,2017-03-14T16:13:31.484Z,"64km SW of Champerico, Guatemala",earthquake,7.6,9.9,0.045,152.0,reviewed,us,us
2017-03-13T15:05:54.850Z,-30.4146,-71.4753,34.06,5.1,mww,,66.0,0.292,0.93,us,us100088n2,2017-03-14T16:44:50.040Z,"33km NW of Ovalle, Chile",earthquake,5.5,3.3,,,reviewed,us,guc
2017-03-13T14:19:06.700Z,17.415,96.0107,10.0,5.1,mb,,42.0,0.563,0.62,us,us100088mq,2017-03-15T14:53:40.211Z,"34km SE of Tharyarwady, Burma",earthquake,6.9,1.8,0.061,88.0,reviewed,us,us
2017-03-13T12:32:36.070Z,-16.5105,-173.2212,34.25,4.6,mb,,104.0,4.044,0.68,us,us100088mn,2017-03-13T13:21:24.040Z,"83km SE of Hihifo, Tonga",earthquake,14.8,6.5,0.136,16.0,reviewed,us,us
2017-03-13T08:49:05.880Z,14.3219,145.2049,104.46,5.5,mb,,46.0,0.7979999999999999,1.19,us,us100088m4,2017-03-14T17:05:13.040Z,"18km N of Rota, Northern Mariana Islands",earthquake,8.9,5.4,0.045,168.0,reviewed,us,us
2017-03-13T07:15:55.030Z,-2.0192,140.5986,28.68,5.0,mb,,102.0,8.389,0.81,us,us100088ly,2017-03-13T07:31:28.040Z,"57km N of Jayapura, Indonesia",earthquake,10.6,6.4,0.094,36.0,reviewed,us,us
2017-03-13T06:25:37.510Z,40.2498,143.6091,10.0,4.6,mb,,144.0,1.796,1.03,us,us100088ls,2017-03-13T06:43:44.040Z,"157km ENE of Miyako, Japan",earthquake,6.8,1.9,0.087,40.0,reviewed,us,us
2017-03-13T02:48:51.110Z,13.9565,120.7489,165.58,4.6,mb,,106.0,8.329,0.91,us,us100088l9,2017-03-13T09:58:12.580Z,"2km NE of Balayan, Philippines",earthquake,10.9,7.3,0.052000000000000005,108.0,reviewed,us,us
2017-03-13T02:07:19.620Z,36.2105,70.6783,114.94,4.5,mb,,80.0,0.917,0.97,us,us100088kv,2017-03-13T02:43:09.040Z,"21km NNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5.6,6.1,0.07,60.0,reviewed,us,us
2017-03-12T20:29:57.100Z,-7.192,129.6088,127.42,4.5,mb,,83.0,1.85,0.87,us,us100088k1,2017-03-12T20:46:35.040Z,"206km WNW of Saumlaki, Indonesia",earthquake,7.4,7.4,0.096,32.0,reviewed,us,us
2017-03-12T12:21:23.880Z,27.1914,103.5868,39.59,4.8,mb,,75.0,6.028,0.59,us,us100088iq,2017-03-12T12:55:34.040Z,"5km E of Wenping, China",earthquake,8.3,7.6,0.065,72.0,reviewed,us,us
